
2024/12/08 (02:29:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (03:31:13) | ===> btop++ v.1.4.0
2024/12/11 (03:31:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/11 (03:31:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (16:04:19) | ===> btop++ v.1.4.0
2024/12/11 (16:04:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/11 (16:04:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (16:17:51) | ===> btop++ v.1.4.0
2024/12/11 (16:17:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/11 (16:17:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (23:51:17) | ===> btop++ v.1.4.0
2024/12/11 (23:51:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/11 (23:51:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (23:54:39) | ===> btop++ v.1.4.0
2024/12/11 (23:54:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/11 (23:54:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (00:12:46) | ===> btop++ v.1.4.0
2024/12/12 (00:12:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (00:12:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (00:13:06) | ===> btop++ v.1.4.0
2024/12/12 (00:13:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (00:13:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (00:13:16) | ===> btop++ v.1.4.0
2024/12/12 (00:13:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (00:13:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (00:33:24) | ===> btop++ v.1.4.0
2024/12/12 (00:33:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (00:33:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (00:40:08) | ===> btop++ v.1.4.0
2024/12/12 (00:40:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (00:40:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (00:46:41) | ===> btop++ v.1.4.0
2024/12/12 (00:46:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (00:46:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (01:13:22) | ===> btop++ v.1.4.0
2024/12/12 (01:13:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (01:13:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (20:38:10) | ===> btop++ v.1.4.0
2024/12/12 (20:38:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (20:38:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (03:22:12) | ===> btop++ v.1.4.0
2024/12/13 (03:22:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (03:22:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (03:23:25) | ===> btop++ v.1.4.0
2024/12/13 (03:23:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (03:23:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (03:24:12) | ===> btop++ v.1.4.0
2024/12/13 (03:24:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (03:24:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (05:01:58) | ===> btop++ v.1.4.0
2024/12/13 (05:01:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (05:01:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (15:43:17) | ===> btop++ v.1.4.0
2024/12/13 (15:43:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (15:43:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (16:17:41) | ===> btop++ v.1.4.0
2024/12/13 (16:17:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (16:17:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (21:19:38) | ===> btop++ v.1.4.0
2024/12/14 (21:19:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (21:19:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (04:08:03) | ===> btop++ v.1.4.0
2024/12/17 (04:08:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (04:08:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (15:50:09) | ===> btop++ v.1.4.0
